CustomerID,Title,FirstName,MiddleName,LastName,Suffix,AddressLine1,AddressLine2,City,StateProvinceName,CountryRegionName,PostalCode,PhoneNumber,BirthDate,Education,Occupation,Gender,MaritalStatus,HomeOwnerFlag,NumberCarsOwned,NumberChildrenAtHome,TotalChildren,YearlyIncome,AveMonthSpend,BikeBuyer
22409,,Candace,,Madan,,1488 Guadalupe,,Hervey Bay,Queensland,Australia,4655,1 (11) 500 555-0115,8/15/1979,Bachelors ,Clerical,F,S,1,0,0,0,11336,37,0
15809,,Christian,,Sharma,,6086 Glen Wood Drive,,Port Macquarie,New South Wales,Australia,2444,1 (11) 500 555-0159,9/15/1960,Partial College,Skilled Manual,M,M,1,3,4,5,81978,135,1
27510,,Cole,Q,Bailey,,6253 Panorama Dr.,,Burlingame,California,United States,94010,350-555-0145,10/3/1976,Partial College,Professional,M,S,0,2,0,0,86892,70,0
17627,,Dennis,M,Chen,,3195 Rotherham Dr.,,Maidenhead,England,United Kingdom,SL67RJ,1 (11) 500 555-0181,9/9/1974,Bachelors ,Skilled Manual,M,M,1,0,1,1,68021,90,1
21238,,Carl,,Tang,,516 Oak Park Blvd.,,Cliffside,British Columbia,Canada,V8Y 1L1,386-555-0142,9/25/1980,High School,Skilled Manual,M,S,0,2,0,0,52525,64,1
28549,,Lydia,F,Subram,,2575 Garcia,,Warrington,England,United Kingdom,WA3 7BH,1 (11) 500 555-0139,7/25/1974,Bachelors ,Skilled Manual,F,M,1,0,1,1,40535,56,0
19900,,Zoe,,Richardson,,Heideweg 1459,,Bottrop,Nordrhein-Westfalen,Germany,46236,1 (11) 500 555-0181,2/8/1957,High School,Professional,F,M,1,4,4,4,138283,98,1
18905,,Samuel,,Adams,,3518 Black Pine Lane,,Marysville,Washington,United States,98270,161-555-0157,10/3/1979,Partial College,Skilled Manual,M,S,0,2,0,0,90870,71,1
21325,,Angela,,Hayes,,8273 Glacier Drive,,El Cajon,California,United States,92020,848-555-0112,7/10/1960,High School,Professional,F,M,1,4,3,3,133207,86,1
21102,,Willie,M,Zheng,,Kappellweg 664,,Stuttgart,Saarland,Germany,70511,1 (11) 500 555-0168,3/2/1963,Bachelors ,Skilled Manual,M,M,1,0,0,1,63079,74,1
16410,,Joy,,Navarro,,1512 Orangewood Ave.,,Warrington,England,United Kingdom,WA3 7BH,1 (11) 500 555-0164,10/19/1964,Partial High School,Manual,F,S,1,2,3,4,13132,57,1
13821,,Allen,O,Lopez,,619 Natalie Drive,,Woolston,England,United Kingdom,WA1 4SY,1 (11) 500 555-0195,5/15/1963,Bachelors ,Skilled Manual,M,M,1,0,0,1,67438,75,1
17246,,Micah,,Wu,,3537 Pheasant Circle,,Coffs Harbour,New South Wales,Australia,2450,1 (11) 500 555-0198,1/9/1971,Bachelors ,Professional,M,S,1,3,0,0,134331,81,1
16861,,Luis,,Sharma,,4207 Madrid Lane,,Lakewood,California,United States,90712,630-555-0138,6/10/1962,Bachelors ,Management,M,S,0,4,2,2,162391,112,1
17876,,Fernando,R,Harris,,Hans-Rosenthal-Platz 2,,Paderborn,Nordrhein-Westfalen,Germany,33098,1 (11) 500 555-0189,1/11/1962,Graduate Degree,Manual,M,M,1,0,0,1,44593,70,1
27848,,Fernando,,Perez,,1797 Victory Lane,,York,England,United Kingdom,YO15,1 (11) 500 555-0184,8/25/1956,Partial College,Manual,M,M,1,0,0,2,16593,66,0
13794,,Mallory,J,Martin,,8028 3910th Avenue,,Woolston,England,United Kingdom,WA1 4SY,1 (11) 500 555-0145,8/26/1964,High School,Manual,F,S,1,2,2,2,17476,55,1
16058,,Margaret,G,Zhang,,4616 Cordova Way,,London,England,United Kingdom,SW8 1XD,1 (11) 500 555-0112,6/4/1954,Partial College,Manual,F,M,1,1,0,2,14278,46,0
26221,,Kari,M,Chapman,,Pascalstr 99,,Erlangen,Bayern,Germany,91054,1 (11) 500 555-0118,11/6/1972,High School,Manual,F,S,0,1,0,0,40449,43,0
28888,,Casey,C,Lal,,"8011, rue de Cambrai",,Saint Ouen,Somme,France,80610,1 (11) 500 555-0190,5/21/1944,Bachelors ,Management,F,M,1,2,0,5,114697,57,0
22095,,Brandon,,Perry,,384 Dayton Court,,Victoria,British Columbia,Canada,V8V,758-555-0120,10/15/1955,High School,Professional,M,S,1,1,1,2,115198,88,1
13040,,Roy,M,Gonzalez,,3627 Creekside Drive,,East Brisbane,Queensland,Australia,4169,1 (11) 500 555-0129,9/20/1951,High School,Skilled Manual,M,M,1,2,0,3,50919,66,0
18297,,Gloria,B,Alvarez,,8373 Endriss,,Milsons Point,New South Wales,Australia,2061,1 (11) 500 555-0142,8/26/1963,Bachelors ,Professional,F,S,0,2,0,0,92524,54,1
